query,gold_answer,pred_answer,answer_type,file_name,clause_type,retrieval_time_ms,generation_time_ms,total_time_ms,hit@1,mrr@1,recall@1,precision@1,hit@3,mrr@3,recall@3,precision@3,hit@5,mrr@5,recall@5,precision@5,hit@10,mrr@10,recall@10,precision@10,f1,precision,recall,exact_match,simple_context_coverage,simple_answer_context_overlap,simple_ground_truth_coverage
Does this agreement include any 'Non-Disparagement' clause? Answer strictly with 'Yes' or 'No'.,No,No,boolean,CHINARECYCLINGENERGYCORP_11_14_2013-EX-10.6-Cooperation Agreement.PDF,Non-Disparagement,418.9884662628174,49676.28026008606,50095.31903266907,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.013513513513513513,1.0
Does this agreement include any 'Termination For Convenience' clause? Answer strictly with 'Yes' or 'No'.,Yes,Yes,boolean,"KIROMICBIOPHARMA,INC_05_11_2020-EX-10.23-CONSULTING AGREEMENT.PDF",Termination For Convenience,26.252269744873047,40.473222732543945,66.7734146118164,0,0.0,0.0,0.0,1,0.5,1.0,0.3333333333333333,1,0.5,1.0,0.2,1,0.5,1.0,0.1,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Who are the parties to this agreement? List the entity or individual names separated by semicolons.,"Enterprise Transportation Company (""Carrier""); Enterprise Products  Operating L.P. (""Shipper"")",Not specified,list,ENTERPRISEPRODUCTSPARTNERSLP_07_08_1998-EX-10.3-TRANSPORTATION CONTRACT.PDF,Parties,21.818876266479492,50.182342529296875,72.01790809631348,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,0.14285714285714285,1.0,0.1,0.0,0.0,0.0,0.0,0.5,0.005509641873278237,1.0
Who are the parties to this agreement? List the entity or individual names separated by semicolons.,"Bravatek Solutions (""Bravatek""); Sibannac Inc. (""COMPANY"")",Not specified,list,"SIBANNAC,INC_12_04_2017-EX-2.1-Strategic Alliance Agreement.PDF",Parties,24.709701538085938,43.622732162475586,68.36938858032227,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,0.125,1.0,0.1,0.0,0.0,0.0,0.0,0.5,0.007067137809187279,1.0
Does this agreement include any 'Covenant Not To Sue' clause? Answer strictly with 'Yes' or 'No'.,No,No,boolean,SENMIAOTECHNOLOGYLTD_02_19_2019-EX-10.5-Collaboration Agreement.PDF,Covenant Not To Sue,24.84893798828125,41.50223731994629,66.37382507324219,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Does this agreement include any 'Unlimited/All-You-Can-Eat-License' clause? Answer strictly with 'Yes' or 'No'.,No,No,boolean,"FTENETWORKS,INC_02_18_2016-EX-99.4-STRATEGIC ALLIANCE AGREEMENT.PDF",Unlimited/All-You-Can-Eat-License,25.594234466552734,49.84259605407715,75.45757293701172,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0036630036630036634,1.0
Does this agreement include any 'Irrevocable Or Perpetual License' clause? Answer strictly with 'Yes' or 'No'.,No,No,boolean,PcquoteComInc_19990721_S-1A_EX-10.11_6377149_EX-10.11_Co-Branding Agreement1.pdf,Irrevocable Or Perpetual License,24.33490753173828,43.0295467376709,67.40403175354004,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.006825938566552901,1.0
Does this agreement include any 'Price Restrictions' clause? Answer strictly with 'Yes' or 'No'.,No,No,boolean,SoupmanInc_20150814_8-K_EX-10.1_9230148_EX-10.1_Franchise Agreement3.pdf,Price Restrictions,25.629520416259766,31.04877471923828,56.700706481933594,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Does this agreement include any 'Ip Ownership Assignment' clause? Answer strictly with 'Yes' or 'No'.,Yes,No,boolean,"CERES,INC_01_25_2012-EX-10.20-Collaboration Agreement.PDF",Ip Ownership Assignment,27.545452117919922,49.340248107910156,76.92742347717285,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.003367003367003367,0.0
Does this agreement include any 'Change Of Control' clause? Answer strictly with 'Yes' or 'No'.,No,No,boolean,ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT.PDF,Change Of Control,25.36630630493164,33.14352035522461,58.535099029541016,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
