query,gold_answer,pred_answer,answer_type,file_name,rerank_scores,clause_type,retrieval_time_ms,generation_time_ms,total_time_ms,hit@1,mrr@1,recall@1,precision@1,hit@3,mrr@3,recall@3,precision@3,hit@5,mrr@5,recall@5,precision@5,hit@10,mrr@10,recall@10,precision@10,f1,precision,recall,exact_match,simple_context_coverage,simple_answer_context_overlap,simple_ground_truth_coverage
Does this agreement include any 'Non-Disparagement' clause? Answer strictly with 'Yes' or 'No'.,No,No,boolean,CHINARECYCLINGENERGYCORP_11_14_2013-EX-10.6-Cooperation Agreement.PDF,"[0.236572265625, 0.236572265625, 0.236572265625, 0.236572265625, 0.236572265625, 0.236572265625, 0.236572265625, 0.236572265625, 0.236572265625, 0.236572265625]",Non-Disparagement,1628.4728050231934,47807.228565216064,49435.82344055176,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Does this agreement include any 'Termination For Convenience' clause? Answer strictly with 'Yes' or 'No'.,Yes,Yes,boolean,"KIROMICBIOPHARMA,INC_05_11_2020-EX-10.23-CONSULTING AGREEMENT.PDF","[0.1744384765625, 0.1634521484375, 0.1634521484375, 0.1634521484375, 0.1634521484375, 0.1634521484375, 0.1634521484375, 0.1634521484375, 0.1634521484375, 0.1634521484375]",Termination For Convenience,847.3513126373291,28.529882431030273,875.9121894836426,1,1.0,1.0,1.0,1,1.0,1.0,0.3333333333333333,1,1.0,1.0,0.2,1,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Who are the parties to this agreement? List the entity or individual names separated by semicolons.,"Enterprise Transportation Company (""Carrier""); Enterprise Products  Operating L.P. (""Shipper"")","The parties to this agreement are not explicitly named in the provided contract clauses. Therefore, based on the information given, the answer is:",list,ENTERPRISEPRODUCTSPARTNERSLP_07_08_1998-EX-10.3-TRANSPORTATION CONTRACT.PDF,"[0.546875, 0.2705078125, 0.1041259765625, 0.093994140625, 0.0872802734375, 0.0823974609375, 0.0792236328125, 0.0775146484375, 0.06854248046875, 0.06805419921875]",Parties,910.0337028503418,326.02596282958984,1236.081838607788,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,0.125,1.0,0.1,0.0,0.0,0.0,0.0,0.45,0.041379310344827586,1.0
Who are the parties to this agreement? List the entity or individual names separated by semicolons.,"Bravatek Solutions (""Bravatek""); Sibannac Inc. (""COMPANY"")","Bravatek Solutions, Inc.; Sibannac, Inc.",list,"SIBANNAC,INC_12_04_2017-EX-2.1-Strategic Alliance Agreement.PDF","[0.1044921875, 0.06634521484375, 0.06634521484375, 0.06634521484375, 0.06634521484375, 0.06634521484375, 0.06634521484375, 0.06634521484375, 0.06634521484375, 0.06634521484375]",Parties,759.9387168884277,177.73008346557617,937.7274513244629,1,1.0,1.0,1.0,1,1.0,1.0,0.3333333333333333,1,1.0,1.0,0.2,1,1.0,1.0,0.1,0.7272727272727272,0.8,0.6666666666666666,0.0,1.0,0.8333333333333333,1.0
Does this agreement include any 'Covenant Not To Sue' clause? Answer strictly with 'Yes' or 'No'.,No,No,boolean,SENMIAOTECHNOLOGYLTD_02_19_2019-EX-10.5-Collaboration Agreement.PDF,"[0.533203125, 0.455078125, 0.251953125, 0.1688232421875, 0.1688232421875, 0.1688232421875, 0.1688232421875, 0.1688232421875, 0.1688232421875, 0.1688232421875]",Covenant Not To Sue,1025.193214416504,47.23000526428223,1072.4506378173828,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,0.1,1.0,0.1,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Does this agreement include any 'Unlimited/All-You-Can-Eat-License' clause? Answer strictly with 'Yes' or 'No'.,No,No,boolean,"FTENETWORKS,INC_02_18_2016-EX-99.4-STRATEGIC ALLIANCE AGREEMENT.PDF","[0.18359375, 0.18359375, 0.18359375, 0.18359375, 0.18359375, 0.18359375, 0.18359375, 0.18359375, 0.18359375, 0.18359375]",Unlimited/All-You-Can-Eat-License,959.2626094818115,29.261350631713867,988.548994064331,0,0.0,0.0,0.0,1,0.5,1.0,0.3333333333333333,1,0.5,1.0,0.2,1,0.5,1.0,0.1,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Does this agreement include any 'Irrevocable Or Perpetual License' clause? Answer strictly with 'Yes' or 'No'.,No,No,boolean,PcquoteComInc_19990721_S-1A_EX-10.11_6377149_EX-10.11_Co-Branding Agreement1.pdf,"[0.1602783203125, 0.1602783203125, 0.1602783203125, 0.1602783203125, 0.1602783203125, 0.1602783203125, 0.1602783203125, 0.1602783203125, 0.1602783203125, 0.1602783203125]",Irrevocable Or Perpetual License,806.7069053649902,30.76457977294922,837.5184535980225,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Does this agreement include any 'Price Restrictions' clause? Answer strictly with 'Yes' or 'No'.,No,No,boolean,SoupmanInc_20150814_8-K_EX-10.1_9230148_EX-10.1_Franchise Agreement3.pdf,"[0.193115234375, 0.193115234375, 0.193115234375, 0.193115234375, 0.193115234375, 0.193115234375, 0.193115234375, 0.193115234375, 0.193115234375, 0.193115234375]",Price Restrictions,419.48938369750977,29.490947723388672,449.0377902984619,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Does this agreement include any 'Ip Ownership Assignment' clause? Answer strictly with 'Yes' or 'No'.,Yes,No,boolean,"CERES,INC_01_25_2012-EX-10.20-Collaboration Agreement.PDF","[0.235107421875, 0.234375, 0.2315673828125, 0.2197265625, 0.200927734375, 0.1431884765625, 0.127197265625, 0.1268310546875, 0.095703125, 0.09368896484375]",Ip Ownership Assignment,1045.2735424041748,66.90597534179688,1112.229347229004,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0027662517289073303,0.0
Does this agreement include any 'Change Of Control' clause? Answer strictly with 'Yes' or 'No'.,No,No,boolean,ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT.PDF,"[0.2081298828125, 0.2081298828125, 0.2081298828125, 0.2081298828125, 0.2081298828125, 0.2081298828125, 0.2081298828125, 0.2081298828125, 0.2081298828125, 0.2081298828125]",Change Of Control,901.137113571167,29.11067008972168,930.2797317504883,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Does this agreement include any 'Unlimited/All-You-Can-Eat-License' clause? Answer strictly with 'Yes' or 'No'.,No,No,boolean,BIOCEPTINC_08_19_2013-EX-10-COLLABORATION AGREEMENT.PDF,"[0.18359375, 0.18359375, 0.18359375, 0.18359375, 0.18359375, 0.18359375, 0.18359375, 0.18359375, 0.18359375, 0.18359375]",Unlimited/All-You-Can-Eat-License,955.4550647735596,28.671979904174805,984.1470718383789,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,0.14285714285714285,1.0,0.1,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Does this agreement include any 'Covenant Not To Sue' clause? Answer strictly with 'Yes' or 'No'.,No,No,boolean,INKTOMICORP_06_08_1998-EX-10.14-SOFTWARE HOSTING AGREEMENT.PDF,"[0.93359375, 0.216064453125, 0.1634521484375, 0.1634521484375, 0.1634521484375, 0.1634521484375, 0.1634521484375, 0.1634521484375, 0.1634521484375, 0.1634521484375]",Covenant Not To Sue,919.2917346954346,43.05839538574219,962.3959064483643,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,0.1,1.0,0.1,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Does this agreement include any 'Ip Ownership Assignment' clause? Answer strictly with 'Yes' or 'No'.,No,No,boolean,DeltathreeInc_19991102_S-1A_EX-10.19_6227850_EX-10.19_Co-Branding Agreement_ Service Agreement.pdf,"[0.384521484375, 0.1591796875, 0.1591796875, 0.1591796875, 0.1591796875, 0.1591796875, 0.1591796875, 0.1591796875, 0.1591796875, 0.1591796875]",Ip Ownership Assignment,815.654993057251,31.803369522094727,847.4833965301514,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.025641025641025647,1.0
Does this agreement include any 'License Grant' clause? Answer strictly with 'Yes' or 'No'.,No,No,boolean,ENERGYXXILTD_05_08_2015-EX-10.13-Transportation AGREEMENT.PDF,"[0.415771484375, 0.2239990234375, 0.2239990234375, 0.2239990234375, 0.2239990234375, 0.2239990234375, 0.2239990234375, 0.2239990234375, 0.2239990234375, 0.2239990234375]",License Grant,872.2989559173584,33.24413299560547,905.5643081665039,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Does this agreement include any 'Most Favored Nation' clause? Answer strictly with 'Yes' or 'No'.,No,No,boolean,VIOLINMEMORYINC_12_12_2012-EX-10.14-SPONSORSHIP AGREEMENT.PDF,"[0.19189453125, 0.19189453125, 0.19189453125, 0.19189453125, 0.19189453125, 0.19189453125, 0.19189453125, 0.19189453125, 0.19189453125, 0.19189453125]",Most Favored Nation,860.6040477752686,30.56478500366211,891.2169933319092,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Does this agreement include any 'Termination For Convenience' clause? Answer strictly with 'Yes' or 'No'.,No,No,boolean,FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT_POWEROF.pdf,"[0.162353515625, 0.162353515625, 0.162353515625, 0.162353515625, 0.162353515625, 0.162353515625, 0.162353515625, 0.162353515625, 0.162353515625, 0.162353515625]",Termination For Convenience,515.7482624053955,29.35504913330078,545.1302528381348,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Does this agreement include any 'Non-Disparagement' clause? Answer strictly with 'Yes' or 'No'.,No,No,boolean,KitovPharmaLtd_20190326_20-F_EX-4.15_11584449_EX-4.15_Manufacturing Agreement.pdf,"[0.23095703125, 0.23095703125, 0.23095703125, 0.23095703125, 0.23095703125, 0.23095703125, 0.23095703125, 0.23095703125, 0.23095703125, 0.23095703125]",Non-Disparagement,865.6923770904541,29.5865535736084,895.3051567077637,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Does this agreement include any 'Post-Termination Services' clause? Answer strictly with 'Yes' or 'No'.,No,No,boolean,HYDRONTECHNOLOGIESINC_03_31_1997-EX-10.47-SPONSORSHIP AGREEMENT.PDF,"[0.20947265625, 0.20947265625, 0.20947265625, 0.20947265625, 0.20947265625, 0.20947265625, 0.20947265625, 0.20947265625, 0.20947265625, 0.20947265625]",Post-Termination Services,772.7916240692139,27.397632598876953,800.2123832702637,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,0.125,1.0,0.1,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Does this agreement include any 'Cap On Liability' clause? Answer strictly with 'Yes' or 'No'.,Yes,No,boolean,TUNIUCORP_03_06_2014-EX-10-COOPERATION AGREEMENT.PDF,"[0.1943359375, 0.1943359375, 0.1943359375, 0.1943359375, 0.1943359375, 0.1943359375, 0.1943359375, 0.1943359375, 0.1943359375, 0.1943359375]",Cap On Liability,698.6196041107178,27.44913101196289,726.0866165161133,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Does this agreement include any 'Minimum Commitment' clause? Answer strictly with 'Yes' or 'No'.,No,No,boolean,"COOLTECHNOLOGIES,INC_10_25_2017-EX-10.71-Strategic Alliance Agreement.PDF","[0.204345703125, 0.2005615234375, 0.2005615234375, 0.2005615234375, 0.2005615234375, 0.2005615234375, 0.2005615234375, 0.2005615234375, 0.2005615234375, 0.2005615234375]",Minimum Commitment,614.5186424255371,33.27798843383789,647.8245258331299,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Who are the parties to this agreement? List the entity or individual names separated by semicolons.,"Dazzle Interactive Network Technologies Co., Ltd. (""Party A""); Shenzhen iDreamSky Technology Co., Ltd. (""Party B"")","Party A; Party B; Shenzhen iDreamSky Technology Co., Ltd.; Dazzle Interactive Network Technologies Co., Ltd.",list,IDREAMSKYTECHNOLOGYLTD_07_03_2014-EX-10.39-Cooperation Agreement on Mobile Game Business.PDF,"[0.1949462890625, 0.18896484375, 0.102294921875, 0.09039306640625, 0.07574462890625, 0.06903076171875, 0.06903076171875, 0.06903076171875, 0.06903076171875, 0.06903076171875]",Parties,874.9384880065918,316.760778427124,1191.7338371276855,0,0.0,0.0,0.0,1,0.3333333333333333,1.0,0.3333333333333333,1,0.3333333333333333,1.0,0.2,1,0.3333333333333333,1.0,0.1,1.0,1.0,1.0,0.0,1.0,0.08379888268156425,1.0
Does this agreement include any 'Uncapped Liability' clause? Answer strictly with 'Yes' or 'No'.,No,No,boolean,ENTERPRISEPRODUCTSPARTNERSLP_07_08_1998-EX-10.3-TRANSPORTATION CONTRACT.PDF,"[0.478515625, 0.381103515625, 0.16455078125, 0.16455078125, 0.16455078125, 0.16455078125, 0.16455078125, 0.16455078125, 0.16455078125, 0.16455078125]",Uncapped Liability,909.6152782440186,31.587600708007812,941.2448406219482,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Does this agreement include any 'Audit Rights' clause? Answer strictly with 'Yes' or 'No'.,No,No,boolean,"TALLGRASSENERGY,LP_02_20_2020-EX-99.26-JOINT FILING AGREEMENT.PDF","[0.190673828125, 0.190673828125, 0.190673828125, 0.190673828125, 0.190673828125, 0.190673828125, 0.190673828125, 0.190673828125, 0.190673828125, 0.190673828125]",Audit Rights,717.0095443725586,28.157949447631836,745.1863288879395,0,0.0,0.0,0.0,1,0.5,1.0,0.3333333333333333,1,0.5,1.0,0.2,1,0.5,1.0,0.1,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Does this agreement include any 'Exclusivity' clause? Answer strictly with 'Yes' or 'No'.,No,No,boolean,GluMobileInc_20070319_S-1A_EX-10.09_436630_EX-10.09_Content License Agreement4.pdf,"[0.1895751953125, 0.1895751953125, 0.1895751953125, 0.1895751953125, 0.1895751953125, 0.1895751953125, 0.1895751953125, 0.1895751953125, 0.1895751953125, 0.1895751953125]",Exclusivity,659.2221260070801,29.108524322509766,688.3485317230225,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Does this agreement include any 'Termination For Convenience' clause? Answer strictly with 'Yes' or 'No'.,Yes,Yes,boolean,"ADUROBIOTECH,INC_06_02_2020-EX-10.7-CONSULTING AGREEMENT.PDF","[0.26904296875, 0.161376953125, 0.161376953125, 0.161376953125, 0.161376953125, 0.161376953125, 0.161376953125, 0.161376953125, 0.161376953125, 0.161376953125]",Termination For Convenience,727.3070812225342,29.156923294067383,756.5121650695801,1,1.0,1.0,1.0,1,1.0,1.0,0.3333333333333333,1,1.0,1.0,0.2,1,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Does this agreement include any 'Liquidated Damages' clause? Answer strictly with 'Yes' or 'No'.,No,No,boolean,"Loop Industries, Inc. - Marketing Agreement.PDF","[0.2322998046875, 0.2322998046875, 0.2322998046875, 0.2322998046875, 0.2322998046875, 0.2322998046875, 0.2322998046875, 0.2322998046875, 0.2322998046875, 0.2322998046875]",Liquidated Damages,890.6161785125732,30.11155128479004,920.7468032836914,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Does this agreement include any 'Insurance' clause? Answer strictly with 'Yes' or 'No'.,No,No,boolean,NELNETINC_04_08_2020-EX-1-JOINT FILING AGREEMENT.PDF,"[0.352294921875, 0.1981201171875, 0.1981201171875, 0.1981201171875, 0.1981201171875, 0.1981201171875, 0.1981201171875, 0.1981201171875, 0.1981201171875, 0.1981201171875]",Insurance,418.95198822021484,30.42125701904297,449.4037628173828,0,0.0,0.0,0.0,1,0.5,1.0,0.3333333333333333,1,0.5,1.0,0.2,1,0.5,1.0,0.1,1.0,1.0,1.0,1.0,0.0,0.0,0.0
