category,answer_type,query,gold_answer,model_answer,hit@k,rr@k,recall@k,reranked_score,f1,em,acc
Document Name,TEXT,What is the Document Name in this agreement?,MARKETING AFFILIATE AGREEMENT,"The Document Name in this agreement is ""MARKETING AFFILIATE AGREEMENT"".",1,0.1,1.0,0.1123046875,0.4615384615384615,,
Parties,LIST_ENTITY,Who are the parties to this agreement? List the entity or individual names separated by semicolons.,"Birch First Global Investments Inc. (""Company""); Mount Kowledge Holdings Inc. (""Marketing Affiliate"", ""MA"")",Company;MA;Marketing Affiliate,1,0.16666666666666666,1.0,0.06787109375,0.47058823529411764,,
Agreement Date,DATE,What is the Agreement Date of this agreement? Answer strictly in the format mm/dd/yyyy.,5/8/14,05/08/2014,1,0.25,1.0,0.26953125,,0.0,
Expiration Date,DATE,What is the Expiration Date of this agreement? Answer strictly in the format mm/dd/yyyy.,12/31/14,05/08/2014,1,0.5,1.0,0.1923828125,,0.0,
Renewal Term,DURATION,"What is the Renewal Term in this agreement? Answer with a number and unit, such as '3 years' or '12 months'.",successive 1 year,1 year,1,0.5,1.0,0.71875,,0.0,
Governing Law,LOCATION,What is the Governing Law of this agreement? Answer with the name of a state or country only.,Nevada,Nevada,1,1.0,1.0,0.484375,,1.0,
Most Favored Nation,BOOL,Does this agreement include any 'Most Favored Nation' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,0.201171875,,,1.0
Competitive Restriction Exception,BOOL,Does this agreement include any 'Competitive Restriction Exception' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,0.173828125,,,1.0
Non-Compete,BOOL,Does this agreement include any 'Non-Compete' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,0.2451171875,,,1.0
Exclusivity,BOOL,Does this agreement include any 'Exclusivity' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,0.1923828125,,,1.0
No-Solicit Of Customers,BOOL,Does this agreement include any 'No-Solicit Of Customers' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,0.1640625,,,1.0
No-Solicit Of Employees,BOOL,Does this agreement include any 'No-Solicit Of Employees' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,0.15625,,,1.0
Non-Disparagement,BOOL,Does this agreement include any 'Non-Disparagement' clause? Answer strictly with 'Yes' or 'No'.,Yes,No.,1,0.2,1.0,0.2451171875,,,0.0
Termination For Convenience,BOOL,Does this agreement include any 'Termination For Convenience' clause? Answer strictly with 'Yes' or 'No'.,No,Yes.,0,0.0,0.0,0.201171875,,,0.0
Rofr/Rofo/Rofn,BOOL,Does this agreement include any 'Rofr/Rofo/Rofn' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,0.173828125,,,1.0
Change Of Control,BOOL,Does this agreement include any 'Change Of Control' clause? Answer strictly with 'Yes' or 'No'.,No,No.,0,0.0,0.0,0.22265625,,,1.0
